Godolphin, Bernard 57 3
Terejko, Josiah 22 5
           12 Terejko, Josiah 1:03.42 MACU 5
           45 Terejko, Josiah 27.01 MACU 0
           14 Terejko, Josiah 23.86 MACU 3
           9 Terejko, Josiah 28.91 MACU 9
           12 Terejko, Josiah 51.11 MACU 5
Gallant, Jacob 64 4
           13 Gallant, Jacob 1:03.49 UT 4
           1 Gallant, Jacob 4:08.39 UT 20
           1 Gallant, Jacob 2:08.98 UT 20
           1 Gallant, Jacob 1:59.67 UT 20
Curry, Tristan 14 4
           14 Curry, Tristan 1:03.60 Mustangs 3
           27 Curry, Tristan 2:29.34 Mustangs 0
           20 Curry, Tristan 24.23 Mustangs 0
           8 Curry, Tristan 28.78 Mustangs 11
Chambers, Ian 12 5
           15 Chambers, Ian 1:03.61 Warriors 2
           15 Chambers, Ian 4:42.28 Warriors 2
           11 Chambers, Ian 2:18.63 Warriors 6
           15 Chambers, Ian 29.42 Warriors 2
           43 Chambers, Ian 2:26.48 Warriors 0
Gu, Jake 7 3
           16 Gu, Jake 1:03.68 Warriors 1
           17 Gu, Jake 2:21.55 Warriors 0
           11 Gu, Jake 29.19 Warriors 6
Pei, Samuel 35 5
           17 Pei, Samuel 1:03.89 Warriors 0
           4 Pei, Samuel 4:31.64 Warriors 15
           8 Pei, Samuel 4:04.00 Warriors 11
           22 Pei, Samuel 30.07 Warriors 0
           9 Pei, Samuel 2:06.90 Warriors 9
Wallich, Liam 13 6
           18 Wallich, Liam 1:04.65 Warriors 0
           10 Wallich, Liam 4:39.13 Warriors 7
           20 Wallich, Liam 2:22.42 Warriors 0
           25 Wallich, Liam 30.34 Warriors 0
           15 Wallich, Liam 2:11.08 Warriors 2
           13 Wallich, Liam 2:09.49 Warriors 4
Han, Ryan 5 3
           19 Han, Ryan 1:04.83 Mustangs 0
           12 Han, Ryan 2:19.02 Mustangs 5
           17 Han, Ryan 29.48 Mustangs 0
Ketchin, Matthew 34 6
           20 Ketchin, Matthew 1:04.99 Mustangs 0
           5 Ketchin, Matthew 4:33.01 Mustangs 14
           10 Ketchin, Matthew 2:18.38 Mustangs 7
           29 Ketchin, Matthew 2:18.45 Mustangs 0
           11 Ketchin, Matthew 2:09.45 Mustangs 6
           10 Ketchin, Matthew 2:06.94 Mustangs 7
Clarke, William 5 4
           21 Clarke, William 1:05.08 MACU 0
           19 Clarke, William 2:21.63 MACU 0
           55 Clarke, William 25.42 MACU 0
           12 Clarke, William 29.27 MACU 5
Halford, Owen 2 4
           22 Halford, Owen 1:05.11 MACU 0
           18 Halford, Owen 4:47.45 MACU 0
           15 Halford, Owen 2:21.14 MACU 2
           23 Halford, Owen 30.11 MACU 0
Arbuckle, Josh 3 4
           24 Arbuckle, Josh 1:05.36 QUE 0
           24 Arbuckle, Josh 26.25 QUE 0
           14 Arbuckle, Josh 29.39 QUE 3
           18 Arbuckle, Josh 2:11.13 QUE 0
Hickey, David 15 3
           25 Hickey, David 1:05.36 UT 0
           4 Hickey, David 2:13.24 UT 15
           27 Hickey, David 30.41 UT 0
Pike, Jonathan 1 4
           26 Pike, Jonathan 1:05.79 Mustangs 0
           16 Pike, Jonathan 2:21.55 Mustangs 1
           29 Pike, Jonathan 30.65 Mustangs 0
           35 Pike, Jonathan 2:16.78 Mustangs 0
Joudrie, Robin 0 4
           27 Joudrie, Robin 1:05.84 Mustangs 0
           23 Joudrie, Robin 2:23.36 Mustangs 0
           60 Joudrie, Robin 25.71 Mustangs 0
           25 Joudrie, Robin 2:14.73 Mustangs 0
Ho, Justin 0 4
           28 Ho, Justin 1:06.22 MACU 0
           30 Ho, Justin 2:32.73 MACU 0
           26 Ho, Justin 30.39 MACU 0
           44 Ho, Justin 2:30.33 MACU 0
Dancey, Joshua 0 4
           29 Dancey, Joshua 1:06.26 Warriors 0
           22 Dancey, Joshua 2:23.33 Warriors 0
           38 Dancey, Joshua NT Warriors 0
           26 Dancey, Joshua 2:14.89 Warriors 0
Colling, Caleb 0 4
           30 Colling, Caleb 1:06.43 Brock Badgers 0
           25 Colling, Caleb 2:26.69 Brock Badgers 0
           71 Colling, Caleb 26.02 Brock Badgers 0
           34 Colling, Caleb 31.11 Brock Badgers 0
de la Riva, Philippe 0 3
           31 de la Riva, Philippe 1:06.58 Brock Badgers 0
           41 de la Riva, Philippe 26.91 Brock Badgers 0
           21 de la Riva, Philippe 30.00 Brock Badgers 0
Agostino, Mario 0 5
           32 Agostino, Mario 1:06.60 Brock Badgers 0
           36 Agostino, Mario 2:38.58 Brock Badgers 0
           41 Agostino, Mario 24.90 Brock Badgers 0
           30 Agostino, Mario 30.69 Brock Badgers 0
           52 Agostino, Mario 54.40 Brock Badgers 0
Hrebicek, Nathan 0 4
           34 Hrebicek, Nathan 1:07.00 QUE 0
           70 Hrebicek, Nathan 26.00 QUE 0
           20 Hrebicek, Nathan 30.00 QUE 0
           29 Hrebicek, Nathan 2:15.00 QUE 0
Moraldo, Rayhan 0 4
           35 Moraldo, Rayhan 1:07.89 Carleton 0
           50 Moraldo, Rayhan 27.60 Carleton 0
           54 Moraldo, Rayhan 25.40 Carleton 0
           28 Moraldo, Rayhan 30.62 Carleton 0
Pettypiece, Luke 0 4
           36 Pettypiece, Luke 1:08.26 Brock Badgers 0
           29 Pettypiece, Luke 5:06.24 Brock Badgers 0
           31 Pettypiece, Luke 2:33.18 Brock Badgers 0
           40 Pettypiece, Luke 31.87 Brock Badgers 0
Jackson, Matthew 0 4
           38 Jackson, Matthew 1:08.67 Gryphons 0
           27 Jackson, Matthew 4:56.20 Gryphons 0
           29 Jackson, Matthew 2:31.53 Gryphons 0
           38 Jackson, Matthew 31.64 Gryphons 0
Wielemaker, Tom 0 5
           40 Wielemaker, Tom 1:08.80 Warriors 0
           26 Wielemaker, Tom 4:55.08 Warriors 0
           44 Wielemaker, Tom 26.97 Warriors 0
           37 Wielemaker, Tom 31.47 Warriors 0
           38 Wielemaker, Tom 2:18.52 Warriors 0
Moroz, Brett 0 6
           43 Moroz, Brett 1:10.26 WLU 0
           51 Moroz, Brett 1:04.14 WLU 0
           48 Moroz, Brett 27.17 WLU 0
           72 Moroz, Brett 26.04 WLU 0
           51 Moroz, Brett 34.57 WLU 0
           75 Moroz, Brett 57.34 WLU 0
Jakovljevic, Alex 0 4
           44 Jakovljevic, Alex 1:11.02 Brock Badgers 0
           35 Jakovljevic, Alex 2:37.60 Brock Badgers 0
           46 Jakovljevic, Alex 33.48 Brock Badgers 0
           87 Jakovljevic, Alex 59.87 Brock Badgers 0
Gutkowski, Anthony 0 4
           45 Gutkowski, Anthony 1:11.21 Brock Badgers 0
           41 Gutkowski, Anthony 2:54.44 Brock Badgers 0
           78 Gutkowski, Anthony 26.42 Brock Badgers 0
           42 Gutkowski, Anthony 32.53 Brock Badgers 0
Shuster, Lleyton 0 4
           46 Shuster, Lleyton 1:12.41 Brock Badgers 0
           23 Shuster, Lleyton 4:50.23 Brock Badgers 0
           33 Shuster, Lleyton 2:34.03 Brock Badgers 0
           36 Shuster, Lleyton 2:18.08 Brock Badgers 0
Du, Yifeng (David) 0 4
           47 Du, Yifeng (David) 1:13.56 Carleton 0
           37 Du, Yifeng (David) 2:40.00 Carleton 0
           68 Du, Yifeng (David) 25.91 Carleton 0
           47 Du, Yifeng (David) 33.88 Carleton 0
Mercer, Aidan 0 4
           48 Mercer, Aidan 1:13.68 Carleton 0
           40 Mercer, Aidan 2:52.52 Carleton 0
           82 Mercer, Aidan 26.84 Carleton 0
           43 Mercer, Aidan 33.20 Carleton 0
Mallia, Paddy 0 5
           49 Mallia, Paddy 1:14.06 Carleton 0
           39 Mallia, Paddy 2:46.78 Carleton 0
           93 Mallia, Paddy 29.32 Carleton 0
           45 Mallia, Paddy 33.43 Carleton 0
           94 Mallia, Paddy 1:07.53 Carleton 0
Martin, Braxton 0 5
           50 Martin, Braxton 1:14.06 Carleton 0
           38 Martin, Braxton 2:44.27 Carleton 0
           80 Martin, Braxton 26.57 Carleton 0
           50 Martin, Braxton 34.30 Carleton 0
           78 Martin, Braxton 57.58 Carleton 0
Brzezinski, Hunter 0 4
           51 Brzezinski, Hunter 1:14.08 Carleton 0
           85 Brzezinski, Hunter 27.06 Carleton 0
           44 Brzezinski, Hunter 33.23 Carleton 0
           90 Brzezinski, Hunter 1:01.77 Carleton 0
Xiao, Simeon 0 4
           52 Xiao, Simeon 1:16.65 WLU 0
           42 Xiao, Simeon 3:03.91 WLU 0
           48 Xiao, Simeon 34.04 WLU 0
           93 Xiao, Simeon 1:05.58 WLU 0
Burns-Craze, Owen 0 4
           53 Burns-Craze, Owen 1:19.45 YU 0
           73 Burns-Craze, Owen 31.23 YU 0
           92 Burns-Craze, Owen 29.27 YU 0
           52 Burns-Craze, Owen 34.69 YU 0
Eager, C.J. 0 4
           54 Eager, C.J. 1:19.57 Carleton 0
           90 Eager, C.J. 28.50 Carleton 0
           53 Eager, C.J. 35.00 Carleton 0
           92 Eager, C.J. 1:05.18 Carleton 0
Fawzy, Youssef 0 4
           55 Fawzy, Youssef 1:21.71 WLU 0
           72 Fawzy, Youssef 30.77 WLU 0
           91 Fawzy, Youssef 28.60 WLU 0
           54 Fawzy, Youssef 35.21 WLU 0
Ginzburg, Eric 67 4
           1 Ginzburg, Eric 54.03 YU 20
           2 Ginzburg, Eric 24.30 YU 17
           2 Ginzburg, Eric 22.40 YU 17
           6 Ginzburg, Eric 50.10 YU 13
Wormald, Lukas 91 6
           2 Wormald, Lukas 54.11 Warriors 17
           1 Wormald, Lukas 24.27 Warriors 20
           2 Wormald, Lukas 56.09 Warriors 17
           5 Wormald, Lukas 22.67 Warriors 14
           10 Wormald, Lukas 50.63 Warriors 7
           3 Wormald, Lukas 2:01.71 Warriors 16
Sava, Michael 47 4
           3 Sava, Michael 54.66 UT 16
           8 Sava, Michael 25.24 UT 11
           1 Sava, Michael 1:57.65 UT 20
           17 Sava, Michael 2:10.63 UT 0
Goni Avila, Kent 74 6
           4 Goni Avila, Kent 54.72 WLU 15
           28 Goni Avila, Kent 4:59.07 WLU 0
           7 Goni Avila, Kent 25.13 WLU 12
           3 Goni Avila, Kent 22.52 WLU 16
           3 Goni Avila, Kent 49.58 WLU 16
           4 Goni Avila, Kent 2:02.80 WLU 15
Salouse, Ziyad 29 4
           5 Salouse, Ziyad 54.75 Mustangs 14
           4 Salouse, Ziyad 24.94 Mustangs 15
           19 Salouse, Ziyad 24.04 Mustangs 0
           32 Salouse, Ziyad 53.15 Mustangs 0
Boden, Alex 47 4
           6 Boden, Alex 55.27 Warriors 13
           13 Boden, Alex 25.54 Warriors 4
           4 Boden, Alex 2:01.60 Warriors 15
           4 Boden, Alex 16:14.55 Warriors 15
Zagidulin, Vladislav 25 4
           8 Zagidulin, Vladislav 55.32 Mustangs 11
           10 Zagidulin, Vladislav 25.28 Mustangs 7
           10 Zagidulin, Vladislav 2:05.50 Mustangs 7
           43 Zagidulin, Vladislav 53.86 Mustangs 0
Placek, Ethan 27 4
           10 Placek, Ethan 55.93 Mustangs 7
           12 Placek, Ethan 25.39 Mustangs 5
           11 Placek, Ethan 23.65 Mustangs 6
           9 Placek, Ethan 50.48 Mustangs 9
Gunn, Anthony 18 4
           12 Gunn, Anthony 56.35 Brock Badgers 5
           6 Gunn, Anthony 25.11 Brock Badgers 13
           30 Gunn, Anthony 24.65 Brock Badgers 0
           19 Gunn, Anthony 52.13 Brock Badgers 0
Ziaian, Bijan 7 4
           13 Ziaian, Bijan 56.60 MACU 4
           14 Ziaian, Bijan 25.60 MACU 3
           22 Ziaian, Bijan 24.31 MACU 0
           29 Ziaian, Bijan 52.95 MACU 0
Langman, Kelton 4 6
           15 Langman, Kelton 56.69 WLU 2
           16 Langman, Kelton 25.73 WLU 1
           16 Langman, Kelton 2:08.57 WLU 1
           32 Langman, Kelton 24.68 WLU 0
           31 Langman, Kelton 30.82 WLU 0
           34 Langman, Kelton 53.41 WLU 0
Bailey, Michael 0 4
           20 Bailey, Michael 57.42 Mustangs 0
           26 Bailey, Michael 26.31 Mustangs 0
           27 Bailey, Michael 2:16.72 Mustangs 0
           66 Bailey, Michael 55.55 Mustangs 0
Mills, Emmett 0 4
           21 Mills, Emmett 57.58 Gryphons 0
           23 Mills, Emmett 26.20 Gryphons 0
           20 Mills, Emmett 2:11.34 Gryphons 0
           61 Mills, Emmett 55.19 Gryphons 0
Tsaiger, Daniel 2 4
           24 Tsaiger, Daniel 58.01 Brock Badgers 0
           15 Tsaiger, Daniel 25.69 Brock Badgers 2
           51 Tsaiger, Daniel 25.28 Brock Badgers 0
           67 Tsaiger, Daniel 55.58 Brock Badgers 0
D' Ailly, Justin 5 4
           25 D' Ailly, Justin 58.06 Mustangs 0
           17 D' Ailly, Justin 25.87 Mustangs 0
           12 D' Ailly, Justin 23.73 Mustangs 5
           26 D' Ailly, Justin 52.79 Mustangs 0
Dhanju, Jovan 0 5
           28 Dhanju, Jovan 58.26 Gryphons 0
           38 Dhanju, Jovan 4:29.01 Gryphons 0
           21 Dhanju, Jovan 2:12.29 Gryphons 0
           65 Dhanju, Jovan 55.41 Gryphons 0
           25 Dhanju, Jovan 18:12.11 Gryphons 0
Lusby, Gavin 0 5
           30 Lusby, Gavin 58.65 Warriors 0
           18 Lusby, Gavin 25.87 Warriors 0
           22 Lusby, Gavin 2:13.24 Warriors 0
           23 Lusby, Gavin 24.32 Warriors 0
           31 Lusby, Gavin 53.11 Warriors 0
Agostinelli Stull, Emilio 0 5
           31 Agostinelli Stull, Emilio 59.00 QUE 0
           17 Agostinelli Stull, Emilio 4:10.00 QUE 0
           29 Agostinelli Stull, Emilio 26.50 QUE 0
           23 Agostinelli Stull, Emilio 2:14.00 QUE 0
           46 Agostinelli Stull, Emilio 54.00 QUE 0
Rus, Alex 0 4
           32 Rus, Alex 59.16 Warriors 0
           42 Rus, Alex 26.96 Warriors 0
           40 Rus, Alex NT Warriors 0
           40 Rus, Alex 2:20.66 Warriors 0
Helal, Mohamed 0 4
           35 Helal, Mohamed 59.87 Carleton 0
           34 Helal, Mohamed 26.74 Carleton 0
           56 Helal, Mohamed 25.48 Carleton 0
           28 Helal, Mohamed 2:15.00 Carleton 0
Boyle, Liam 0 4
           39 Boyle, Liam 1:00.26 Brock Badgers 0
           39 Boyle, Liam 26.87 Brock Badgers 0
           30 Boyle, Liam 2:19.47 Brock Badgers 0
           62 Boyle, Liam 55.23 Brock Badgers 0
Kaploun, Anton 0 4
           43 Kaploun, Anton 1:01.02 MACU 0
           36 Kaploun, Anton 26.77 MACU 0
           26 Kaploun, Anton 24.47 MACU 0
           37 Kaploun, Anton 53.44 MACU 0
Daniel, Jyasi 0 4
           45 Daniel, Jyasi 1:01.83 Warriors 0
           40 Daniel, Jyasi 26.90 Warriors 0
           61 Daniel, Jyasi 25.71 Warriors 0
           72 Daniel, Jyasi 57.03 Warriors 0
Perera, Himain 0 4
           47 Perera, Himain 1:02.50 Carleton 0
           61 Perera, Himain 28.76 Carleton 0
           37 Perera, Himain 1:06.80 Carleton 0
           45 Perera, Himain 2:31.55 Carleton 0
Prokosch, Jake 0 4
           48 Prokosch, Jake 1:03.26 MACU 0
           49 Prokosch, Jake 27.38 MACU 0
           25 Prokosch, Jake 24.41 MACU 0
           53 Prokosch, Jake 54.56 MACU 0
Kurukulasooriya, Gihan 0 4
           52 Kurukulasooriya, Gihan 1:04.37 Carleton 0
           56 Kurukulasooriya, Gihan 28.08 Carleton 0
           75 Kurukulasooriya, Gihan 26.28 Carleton 0
           74 Kurukulasooriya, Gihan 57.16 Carleton 0
Tam, Gordon 0 4
           53 Tam, Gordon 1:04.79 MACU 0
           38 Tam, Gordon 26.86 MACU 0
           45 Tam, Gordon 25.07 MACU 0
           21 Tam, Gordon 52.33 MACU 0
Rosenberger, John 0 4
           54 Rosenberger, John 1:08.54 Carleton 0
           74 Rosenberger, John 32.23 Carleton 0
           87 Rosenberger, John 27.18 Carleton 0
           83 Rosenberger, John 59.03 Carleton 0
Lucas, Bryan 0 4
           55 Lucas, Bryan 1:09.84 Brock Badgers 0
           71 Lucas, Bryan 30.70 Brock Badgers 0
           37 Lucas, Bryan 2:40.77 Brock Badgers 0
           94 Lucas, Bryan 29.49 Brock Badgers 0
Loewen, Benjamin 68 4
           2 Loewen, Benjamin 4:20.60 UT 17
           2 Loewen, Benjamin 1:57.89 UT 17
           2 Loewen, Benjamin 1:58.67 UT 17
           2 Loewen, Benjamin 2:00.28 UT 17
Miecznikowski, Adam 17 5
           7 Miecznikowski, Adam 4:33.76 MACU 12
           21 Miecznikowski, Adam 4:11.33 MACU 0
           12 Miecznikowski, Adam 2:06.67 MACU 5
           22 Miecznikowski, Adam 2:14.15 MACU 0
           17 Miecznikowski, Adam 16:58.87 MACU 0
Ireland, Kevin 14 6
           8 Ireland, Kevin 4:33.98 MACU 11
           18 Ireland, Kevin 4:10.48 MACU 0
           21 Ireland, Kevin 2:22.68 MACU 0
           18 Ireland, Kevin 2:09.99 MACU 0
           15 Ireland, Kevin 16:45.55 MACU 2
           16 Ireland, Kevin 2:10.18 MACU 1
El Aref, Omar 30 5
           9 El Aref, Omar 4:38.57 MACU 9
           9 El Aref, Omar 4:06.48 MACU 9
           14 El Aref, Omar 59.95 MACU 3
           9 El Aref, Omar 2:07.31 MACU 9
           28 El Aref, Omar NT MACU 0
Edwards, Hugh 12 4
           17 Edwards, Hugh 4:46.64 Brock Badgers 0
           9 Edwards, Hugh 59.55 Brock Badgers 9
           14 Edwards, Hugh 2:10.94 Brock Badgers 3
           24 Edwards, Hugh 2:14.57 Brock Badgers 0
Galvez, Tomas 0 5
           20 Galvez, Tomas 4:48.07 Brock Badgers 0
           29 Galvez, Tomas 4:17.22 Brock Badgers 0
           25 Galvez, Tomas 2:14.36 Brock Badgers 0
           19 Galvez, Tomas 17:03.18 Brock Badgers 0
           34 Galvez, Tomas 2:15.80 Brock Badgers 0
Cameron, Andrew 0 4
           21 Cameron, Andrew 4:48.19 Warriors 0
           34 Cameron, Andrew 4:22.00 Warriors 0
           39 Cameron, Andrew NT Warriors 0
           21 Cameron, Andrew 2:13.94 Warriors 0
Jong, Ethan 0 5
           24 Jong, Ethan 4:50.49 MACU 0
           24 Jong, Ethan 2:24.86 MACU 0
           33 Jong, Ethan 31.04 MACU 0
           24 Jong, Ethan 17:45.34 MACU 0
           33 Jong, Ethan 2:15.67 MACU 0
Bagrianski, Misha 28 3
           5 Bagrianski, Misha 25.01 UT 14
           6 Bagrianski, Misha 22.96 UT 13
           16 Bagrianski, Misha 51.70 UT 1
Milone, Benjamin 0 3
           57 Milone, Benjamin 28.32 MACU 0
           34 Milone, Benjamin 24.71 MACU 0
           59 Milone, Benjamin 55.11 MACU 0
Park, John 0 4
           22 Park, John 1:01.00 QUE 0
           53 Park, John 25.32 QUE 0
           18 Park, John 2:12.00 QUE 0
           30 Park, John 2:15.00 QUE 0
Waddell, Jackson 2 2
           15 Waddell, Jackson 23.90 Mustangs 2
           20 Waddell, Jackson 52.22 Mustangs 0
