Godolphin, Bernard 57 3
Broadway, Benjamin 0 4
           27 Broadway, Benjamin 1:58.75 Gryphons 0
           19 Broadway, Benjamin 4:10.83 Gryphons 0
           38 Broadway, Benjamin 24.83 Gryphons 0
           41 Broadway, Benjamin 53.62 Gryphons 0
Daschuk, Landon 0 5
           28 Daschuk, Landon 1:58.91 Brock Badgers 0
           27 Daschuk, Landon 4:16.25 Brock Badgers 0
           47 Daschuk, Landon 25.13 Brock Badgers 0
           49 Daschuk, Landon 54.10 Brock Badgers 0
           22 Daschuk, Landon 17:37.30 Brock Badgers 0
Wang, Michael 0 6
           29 Wang, Michael 1:59.26 Gryphons 0
           38 Wang, Michael 1:00.01 Gryphons 0
           22 Wang, Michael 4:11.43 Gryphons 0
           43 Wang, Michael 26.96 Gryphons 0
           70 Wang, Michael 56.47 Gryphons 0
           39 Wang, Michael 2:20.23 Gryphons 0
Ball, Chris 4 5
           30 Ball, Chris 1:59.34 Brock Badgers 0
           28 Ball, Chris 28.67 Brock Badgers 0
           13 Ball, Chris 59.94 Brock Badgers 4
           33 Ball, Chris 24.70 Brock Badgers 0
           36 Ball, Chris 53.43 Brock Badgers 0
Guta, Alex S 0 4
           31 Guta, Alex S 1:59.70 MACU 0
           28 Guta, Alex S 4:16.50 MACU 0
           32 Guta, Alex S 1:02.11 MACU 0
           26 Guta, Alex S 2:17.03 MACU 0
Romagnoli, Daniel 0 6
           32 Romagnoli, Daniel 2:00.22 WLU 0
           40 Romagnoli, Daniel 1:00.62 WLU 0
           37 Romagnoli, Daniel 26.81 WLU 0
           27 Romagnoli, Daniel 24.50 WLU 0
           38 Romagnoli, Daniel 53.51 WLU 0
           32 Romagnoli, Daniel 2:15.37 WLU 0
Thomas, Dylan 3 6
           33 Thomas, Dylan 2:00.36 WLU 0
           23 Thomas, Dylan 1:05.33 WLU 0
           14 Thomas, Dylan 2:20.48 WLU 3
           24 Thomas, Dylan 30.22 WLU 0
           51 Thomas, Dylan 54.31 WLU 0
           22 Thomas, Dylan 2:13.97 WLU 0
Miller-Junk, Devon 0 3
           34 Miller-Junk, Devon 2:00.64 Warriors 0
           24 Miller-Junk, Devon 24.38 Warriors 0
           42 Miller-Junk, Devon 53.65 Warriors 0
Bryer, William 0 6
           35 Bryer, William 2:00.90 WLU 0
           19 Bryer, William 4:47.57 WLU 0
           51 Bryer, William 27.62 WLU 0
           35 Bryer, William 24.73 WLU 0
           48 Bryer, William 54.04 WLU 0
           23 Bryer, William 2:13.99 WLU 0
Rogozynski, Noah 5 6
           36 Rogozynski, Noah 2:01.22 Warriors 0
