Event: 1 Women 50 SC Meter Freestyle 
Name : Calkins, Stephen, Seed Time: 22.15, Ranking: 2, Points: 17, Team Name: U Of C Dinos, Age: 24 
Name : Lim, Dima, Seed Time: 22.37, Ranking: 3, Points: 16, Team Name: Ubc Thunderbirds, Age: 22 
Name : Issa, Hazem, Seed Time: 22.40, Ranking: 4, Points: 15, Team Name: McGILL, Age: 20 
Name : Ginzburg, Eric, Seed Time: 22.40, Ranking: 5, Points: 14, Team Name: YU, Age: 18 
Name : Stewart-Beinder, Luke, Seed Time: 22.58, Ranking: 6, Points: 13, Team Name: Mustangs, Age: 18 
Name : Goni Avila, Kent, Seed Time: 22.59, Ranking: 7, Points: 12, Team Name: WLU, Age: 19 
Name : Sangster, Dean, Seed Time: 22.62, Ranking: 8, Points: 11, Team Name: Acadia, Age: 22 
Name : Wormald, Lukas, Seed Time: 22.67, Ranking: 9, Points: 9, Team Name: Warriors, Age: 23 
Name : Ho, Siu Lun, Seed Time: 22.73, Ranking: 10, Points: 7, Team Name: Ubc Thunderbirds, Age: 18 
Name : Zheng, Allen, Seed Time: 22.75, Ranking: 11, Points: 6, Team Name: Uottawa Gee-Gees, Age: 21 
Name : Drabik, Cyrus M, Seed Time: 22.75, Ranking: 12, Points: 5, Team Name: MACU, Age: 23 
Name : Alexander, Chris, Seed Time: 22.78, Ranking: 13, Points: 4, Team Name: Horns, Age: 23 
Name : Butler, Addison, Seed Time: 22.80, Ranking: 14, Points: 3, Team Name: U Of C Dinos, Age: 18 
Name : Mascoll-Gomes, Noah, Seed Time: 22.87, Ranking: 15, Points: 2, Team Name: Dal Tigers, Age: 23 
Name : Brough, Mitchell, Seed Time: 22.88, Ranking: 16, Points: 1, Team Name: UOFR, Age: 21 
Name : Yu, Tengbo, Seed Time: 22.90, Ranking: 17, Points: 0, Team Name: McGILL, Age: 22 
Name : Brown, Parker, Seed Time: 22.91, Ranking: 18, Points: 0, Team Name: Horns, Age: 20 
Name : Mckervill, Padric, Seed Time: 22.94, Ranking: 19, Points: 0, Team Name: UVIC, Age: 22 
Name : Placek, Ethan, Seed Time: 22.95, Ranking: 20, Points: 0, Team Name: Mustangs, Age: 21 
Name : Arden, Raine, Seed Time: 22.97, Ranking: 21, Points: 0, Team Name: Horns, Age: 22 
Name : St-Germain, Jacob, Seed Time: 23.00, Ranking: 22, Points: 0, Team Name: UDEM, Age: 22 
Name : Blanco, Joel, Seed Time: 23.01, Ranking: 23, Points: 0, Team Name: Ubc Thunderbirds, Age: 19 
Name : Millns, Ricky, Seed Time: 23.01, Ranking: 24, Points: 0, Team Name: UVIC, Age: 21 
Name : Purahoo, Ovesh, Seed Time: 23.03, Ranking: 25, Points: 0, Team Name: UOFR, Age: 21 
Name : Przyswitt, Kier, Seed Time: 23.06, Ranking: 26, Points: 0, Team Name: Ualberta, Age: 21 
Name : Debruijn, Jaden, Seed Time: 23.06, Ranking: 27, Points: 0, Team Name: Ualberta, Age: 19 
Name : Klakov, Maksym, Seed Time: 23.06, Ranking: 28, Points: 0, Team Name: UT, Age: 19 
Name : Dehem-Lemelin, Bruno, Seed Time: 23.08, Ranking: 29, Points: 0, Team Name: McGILL, Age: 22 
Name : Bracho, Canek, Seed Time: 23.08, Ranking: 30, Points: 0, Team Name: Ubc Thunderbirds, Age: 21 
Name : Aylward, Graeme, Seed Time: 23.11, Ranking: 31, Points: 0, Team Name: UT, Age: 23 
Name : Fang, Maxwell, Seed Time: 23.19, Ranking: 32, Points: 0, Team Name: UVIC, Age: 21 
Name : Kenny, Shane, Seed Time: 23.23, Ranking: 33, Points: 0, Team Name: Acadia, Age: 22 
Name : Beélanger, Samuel, Seed Time: 23.27, Ranking: 34, Points: 0, Team Name: Lav, Age: 26 
Name : Fast, Ethan, Seed Time: 23.36, Ranking: 35, Points: 0, Team Name: Uottawa Gee-Gees, Age: 18 
Name : Bagrianski, Misha, Seed Time: 23.37, Ranking: 36, Points: 0, Team Name: UT, Age: 21 
Name : Godolphin, Bernard, Seed Time: 23.38, Ranking: 37, Points: 0, Team Name: UT, Age: 23 
Name : Bertrand, Louis, Seed Time: 23.43, Ranking: 38, Points: 0, Team Name: Uottawa Gee-Gees, Age: 21 
Name : Johnsen, Cameron, Seed Time: 23.43, Ranking: 39, Points: 0, Team Name: MACU, Age: 21 
Name : Benaddad, Ryan, Seed Time: 23.46, Ranking: 40, Points: 0, Team Name: UDEM, Age: 24 
Name : Terejko, Josiah, Seed Time: 23.54, Ranking: 41, Points: 0, Team Name: MACU, Age: 21 
Name : Perreault, Alexandre, Seed Time: 23.55, Ranking: 42, Points: 0, Team Name: Uottawa Gee-Gees, Age: 24 
Name : Salouse, Ziyad, Seed Time: 23.60, Ranking: 43, Points: 0, Team Name: Mustangs, Age: 18 
Name : Martin, John Vineyard, Seed Time: 23.71, Ranking: 44, Points: 0, Team Name: McGILL, Age: 21 
Name : Dennett, Liam, Seed Time: 23.75, Ranking: 45, Points: 0, Team Name: U Of C Dinos, Age: 20 
Name : Brough, Matthew, Seed Time: 23.75, Ranking: 46, Points: 0, Team Name: UOFR, Age: 19 
Name : Zagidulin, Vladislav, Seed Time: 23.80, Ranking: 47, Points: 0, Team Name: Mustangs, Age: 19 
Name : Agostinelli Stull, Elijah S, Seed Time: 23.84, Ranking: 48, Points: 0, Team Name: UVIC, Age: 20 
Name : Ferrara, Je éreémy, Seed Time: 23.89, Ranking: 49, Points: 0, Team Name: USHER, Age: 25 
Name : Hayhoe, Jack, Seed Time: 24.03, Ranking: 50, Points: 0, Team Name: Ualberta, Age: 19 
Name : Robins, Phil, Seed Time: 24.09, Ranking: 51, Points: 0, Team Name: UT, Age: 20 
Name : Bilous, Jayden, Seed Time: 24.26, Ranking: 52, Points: 0, Team Name: UVIC, Age: 19 

Event: 2 ...(Men 50 SC Meter Freestyle) 
Name : Lacroix, Brandon, Seed Time: 24.43, Ranking: 53, Points: 0, Team Name: Lav, Age: 21 
Name : Salem, Adham, Seed Time: 24.73, Ranking: 54, Points: 0, Team Name: McGILL, Age: 19 
Name : Beggs, Carson, Seed Time: 24.76, Ranking: 55, Points: 0, Team Name: UM, Age: 21 
Name : Laturnus, Cameron, Seed Time: 24.98, Ranking: 56, Points: 0, Team Name: UVIC, Age: 19 
Name : Cottineau, Simon, Seed Time: 25.61, Ranking: 57, Points: 0, Team Name: Lav, Age: 20 
Name : Sparkes, Logan, Seed Time: NT, Ranking: 58, Points: 0, Team Name: Dal Tigers, Age: 20 

Event: 3 Women 100 SC Meter Backstroke 
Name : Kary, Raili, Seed Time: 58.54, Ranking: 1, Points: 20, Team Name: UT, Age: 20 
Name : Gold, Aleksa, Seed Time: 58.97, Ranking: 2, Points: 17, Team Name: UT, Age: 23 
Name : Johnsen, Hannah, Seed Time: 59.86, Ranking: 3, Points: 16, Team Name: U Of C Dinos, Age: 19 
Name : Danyluk, Daphne é, Seed Time: 1:00.36, Ranking: 4, Points: 15, Team Name: McGILL, Age: 24 
Name : Klenk, Haley, Seed Time: 1:00.38, Ranking: 5, Points: 14, Team Name: UT, Age: 20 
Name : Mozill, Megan, Seed Time: 1:00.82, Ranking: 6, Points: 13, Team Name: UM, Age: 21 
Name : Crisp, Lauren, Seed Time: 1:01.01, Ranking: 7, Points: 12, Team Name: UVIC, Age: 23 
Name : Modrcin, Dora, Seed Time: 1:01.31, Ranking: 8, Points: 11, Team Name: UM, Age: 23 
Name : Bath, Angelica, Seed Time: 1:01.37, Ranking: 9, Points: 9, Team Name: UT, Age: 20 
Name : Wist, Sela, Seed Time: 1:01.38, Ranking: 10, Points: 7, Team Name: Ubc Thunderbirds, Age: 18 
Name : Allen, Eloise, Seed Time: 1:01.48, Ranking: 11, Points: 6, Team Name: Ubc Thunderbirds, Age: 18 
Name : Pengilly, Georgia, Seed Time: 1:01.61, Ranking: 12, Points: 5, Team Name: UM, Age: 21 
Name : Rooney, Sophie, Seed Time: 1:01.71, Ranking: 13, Points: 4, Team Name: Acadia, Age: 18 
Name : Godon, Sara, Seed Time: 1:02.12, Ranking: 14, Points: 3, Team Name: Ubc Thunderbirds, Age: 22 
Name : Van Noord, Nikki, Seed Time: 1:02.49, Ranking: 15, Points: 2, Team Name: McGILL, Age: 24 
Name : Movold, Avery, Seed Time: 1:02.59, Ranking: 16, Points: 1, Team Name: U Of C Dinos, Age: 22 
Name : Miron, Emma, Seed Time: 1:02.66, Ranking: 17, Points: 0, Team Name: Mustangs, Age: 21 
Name : McKenzie, Teagan, Seed Time: 1:02.79, Ranking: 18, Points: 0, Team Name: UT, Age: 18 
Name : Melanson, Isabelle, Seed Time: 1:02.81, Ranking: 19, Points: 0, Team Name: Uottawa Gee-Gees, Age: 18 
Name : Leslie, Kamryn, Seed Time: 1:02.90, Ranking: 20, Points: 0, Team Name: Ualberta, Age: 18 
Name : Daoud, Nadine, Seed Time: 1:02.94, Ranking: 21, Points: 0, Team Name: U Of C Dinos, Age: 21 
Name : Estabrooks, Hannah, Seed Time: 1:03.11, Ranking: 22, Points: 0, Team Name: Mustangs, Age: 18 
Name : Corson, Sarah, Seed Time: 1:03.23, Ranking: 23, Points: 0, Team Name: U Of C Dinos, Age: 21 
Name : Housman, Eliza, Seed Time: 1:03.26, Ranking: 24, Points: 0, Team Name: U Of C Dinos, Age: 18 
Name : Lehman, Delaney, Seed Time: 1:03.28, Ranking: 25, Points: 0, Team Name: Horns, Age: 18 
Name : Roschat, Olivia E, Seed Time: 1:03.29, Ranking: 26, Points: 0, Team Name: UVIC, Age: 19 
Name : Kingscote, Hannah, Seed Time: 1:03.37, Ranking: 27, Points: 0, Team Name: UVIC, Age: 20 
Name : Adelman, Melissa J, Seed Time: 1:03.73, Ranking: 28, Points: 0, Team Name: UOFR, Age: 18 
Name : Davidson, Juliette, Seed Time: 1:03.97, Ranking: 29, Points: 0, Team Name: Lav, Age: 20 
Name : Bennett, Hannah, Seed Time: 1:04.01, Ranking: 30, Points: 0, Team Name: U Of C Dinos, Age: 20 
Name : McKinley, Abby, Seed Time: 1:04.43, Ranking: 31, Points: 0, Team Name: Uottawa Gee-Gees, Age: 19 
Name : Spurrell, McKenna, Seed Time: 1:04.51, Ranking: 32, Points: 0, Team Name: Uottawa Gee-Gees, Age: 19 
Name : Schofield, Emilie, Seed Time: 1:04.95, Ranking: 33, Points: 0, Team Name: Dal Tigers, Age: 20 
Name : Thebarge, Vanessa, Seed Time: 1:05.02, Ranking: 34, Points: 0, Team Name: Uottawa Gee-Gees, Age: 19 
Name : Kohut, Madison, Seed Time: 1:05.05, Ranking: 35, Points: 0, Team Name: Ualberta, Age: 19 
Name : Talwalkar, Emiko, Seed Time: 1:05.19, Ranking: 36, Points: 0, Team Name: McGILL, Age: 18 
Name : Smith, Maggie May, Seed Time: 1:05.28, Ranking: 37, Points: 0, Team Name: MACU, Age: 24 
Name : Treasure, Danielle, Seed Time: 1:05.33, Ranking: 38, Points: 0, Team Name: Mustangs, Age: 19 
Name : Williams, Kate, Seed Time: 1:05.49, Ranking: 39, Points: 0, Team Name: Seahawks, Age: 20 
Name : Hodge, Ashley, Seed Time: 1:06.70, Ranking: 40, Points: 0, Team Name: Gryphons, Age: 18 
Name : Mcdonald, Abigail, Seed Time: 1:07.16, Ranking: 41, Points: 0, Team Name: Gryphons, Age: 22 
Name : Garcia, Rose, Seed Time: NT, Ranking: 42, Points: 0, Team Name: Ubc Thunderbirds, Age: 20 

Event: 4 Men 100 SC Meter Backstroke 
Name : Tierney, Blake, Seed Time: 51.83, Ranking: 1, Points: 20, Team Name: Ubc Thunderbirds, Age: 21 
Name : McNeill, Hugh, Seed Time: 52.94, Ranking: 2, Points: 17, Team Name: Ubc Thunderbirds, Age: 19 
Name : Alexander, Chris, Seed Time: 53.39, Ranking: 3, Points: 16, Team Name: Horns, Age: 23 
Name : Lahrichi, Driss, Seed Time: 54.06, Ranking: 4, Points: 15, Team Name: Lav, Age: 25 
Name : Rambo, Jacob, Seed Time: 54.09, Ranking: 5, Points: 14, Team Name: UVIC, Age: 21 
Name : Buck, Carter, Seed Time: 54.28, Ranking: 6, Points: 13, Team Name: UT, Age: 19 
Name : Loewen, Benjamin, Seed Time: 54.40, Ranking: 7, Points: 12, Team Name: UT, Age: 19 
Name : Stokes, Richie, Seed Time: 54.41, Ranking: 8, Points: 11, Team Name: U Of C Dinos, Age: 22 
Name : Castillo, Sebastian, Seed Time: 54.68, Ranking: 9, Points: 9, Team Name: U Of C Dinos, Age: 22 
Name : Jensen, Ryan, Seed Time: 54.69, Ranking: 10, Points: 7, Team Name: Uottawa Gee-Gees, Age: 23 
Name : Vanmoen, Romain, Seed Time: 54.75, Ranking: 11, Points: 6, Team Name: McGILL, Age: 20 
Name : Aguiar-Winter, Evan, Seed Time: 54.95, Ranking: 12, Points: 5, Team Name: Uottawa Gee-Gees, Age: 20 
Name : Douglas, Laird, Seed Time: 54.99, Ranking: 13, Points: 4, Team Name: Ubc Thunderbirds, Age: 22 
Name : Gerlach, Daniel, Seed Time: 55.02, Ranking: 14, Points: 3, Team Name: U Of C Dinos, Age: 23 
Name : Bracho, Canek, Seed Time: 55.06, Ranking: 15, Points: 2, Team Name: Ubc Thunderbirds, Age: 21 
Name : McKenzie, Mark, Seed Time: 55.32, Ranking: 16, Points: 1, Team Name: U Of C Dinos, Age: 22 
Name : Herman, Andrew, Seed Time: 55.37, Ranking: 17, Points: 0, Team Name: YU, Age: 18 
Name : Sangster, Dean, Seed Time: 55.45, Ranking: 18, Points: 0, Team Name: Acadia, Age: 22 
Name : Wittmann, Matthew, Seed Time: 55.55, Ranking: 19, Points: 0, Team Name: McGILL, Age: 22 
Name : Murphy, Ryan M, Seed Time: 55.59, Ranking: 20, Points: 0, Team Name: UVIC, Age: 18 
Name : Ferguson, Liam, Seed Time: 55.69, Ranking: 21, Points: 0, Team Name: Dal Tigers, Age: 19 
Name : Fang, Maxwell, Seed Time: 55.94, Ranking: 22, Points: 0, Team Name: UVIC, Age: 21 
Name : Steele, James, Seed Time: 56.09, Ranking: 23, Points: 0, Team Name: Uottawa Gee-Gees, Age: 22 
Name : Kwinter, Charlie, Seed Time: 56.27, Ranking: 24, Points: 0, Team Name: U Of C Dinos, Age: 18 
Name : Wagner, Noah, Seed Time: 56.84, Ranking: 25, Points: 0, Team Name: Uottawa Gee-Gees, Age: 21 
Name : Chandler-Baas, Freddy, Seed Time: 56.96, Ranking: 26, Points: 0, Team Name: Dal Tigers, Age: 20 
Name : Fast, Ethan, Seed Time: 57.01, Ranking: 27, Points: 0, Team Name: Uottawa Gee-Gees, Age: 18 
Name : Schiffmann, Nathan, Seed Time: 57.09, Ranking: 28, Points: 0, Team Name: Uottawa Gee-Gees, Age: 22 
Name : Yang, Bryan, Seed Time: 57.22, Ranking: 29, Points: 0, Team Name: Warriors, Age: 20 
Name : Van Herk, Brendan, Seed Time: 57.22, Ranking: 30, Points: 0, Team Name: Uottawa Gee-Gees, Age: 23 
Name : Brough, Matthew, Seed Time: 58.47, Ranking: 31, Points: 0, Team Name: UOFR, Age: 19 
Name : Westendorf, Cole, Seed Time: 58.83, Ranking: 32, Points: 0, Team Name: UVIC, Age: 23 
Name : Mcdonald, Thomas, Seed Time: 59.10, Ranking: 33, Points: 0, Team Name: U Of C Dinos, Age: 19 
Name : Allwood, Owen, Seed Time: 1:04.78, Ranking: 34, Points: 0, Team Name: U Of C Dinos, Age: 20 
Name : Dommann, Raben, Seed Time: NT, Ranking: 35, Points: 0, Team Name: Ubc Thunderbirds, Age: 22 

Event: 5 Women 50 SC Meter Breaststroke 
Name : L' Archeveque, Alicia, Seed Time: 30.94, Ranking: 1, Points: 20, Team Name: Ubc Thunderbirds, Age: 18 
Name : Allen, Eloise, Seed Time: 30.95, Ranking: 2, Points: 17, Team Name: Ubc Thunderbirds, Age: 18 
Name : Branton, Shona, Seed Time: 31.52, Ranking: 3, Points: 16, Team Name: Mustangs, Age: 20 
Name : Goyette, Tatyanna, Seed Time: 31.65, Ranking: 4, Points: 15, Team Name: UDEM, Age: 22 
Name : Spencer, Madeline, Seed Time: 31.68, Ranking: 5, Points: 14, Team Name: UT, Age: 20 
Name : Deering, Megan, Seed Time: 31.76, Ranking: 6, Points: 13, Team Name: Mustangs, Age: 21 
Name : Shearer, Lauren, Seed Time: 31.79, Ranking: 7, Points: 12, Team Name: Uottawa Gee-Gees, Age: 24 
